연번,ID,매매_18년_1분기,등락율18_1,전세가율18_1,전용면적,구별인구,거래량1,거래량18,거래허가제TF,아파트TF,주상복합TF,도시형주택TF,일반분양TF,복합분양TF,임대분양TF,사용승인년도,동당세대수,승강기합계,동수,세대수,관리원당세대수,승강기당세대수,세대당주차수,지하주차비율,세대당cctv수,관리인원수,연간소독횟수,관리위탁여부,개별난방TF,중앙난방TF,지역난방TF,복도식TF,혼합형TF,계단식TF,메이저시공사TF,조합시행TF,철근철골구조TF,홈네트워크TF,관리시설수
815,서울특별시 관악구 신림동 라이프 60,31000,35.5,90.3,60,522292,1,0,0,1,0,0,1,0,0,1996,171,20,1,171,24.42857143,8.55,0.771929825,0.71969697,0.105263158,7,12,0,1,0,0,0,0,1,0,0,0,0,3
816,서울특별시 관악구 신림동 벽산블루밍 80,42500, - ,75.3,80,522292,1,0,0,1,0,0,1,0,0,2005,59,23,3,177,29.5,7.695652174,1.073446328,0.294736842,0.231638418,6,12,1,1,0,0,0,0,1,0,1,0,1,3
817,서울특별시 관악구 신림동 보라매갑을 70,46700, - ,67.5,70,522292,0,2,0,1,0,0,1,0,0,2003,157,19,1,157,31.4,8.263157895,0.961783439,0.761589404,0.261146497,5,6,1,1,0,0,0,0,1,0,1,0,0,4
818,서울특별시 관악구 신림동 삼성산주공 110,42104, - ,83.8,110,522292,14,1,0,1,0,0,1,0,0,2000,164.6666667,112,9,1482,37.05,13.23214286,1.302294197,0.915544041,0.217948718,40,12,1,1,0,0,0,0,1,0,0,0,0,6
819,서울특별시 관악구 신림동 삼성산주공 60,31125,-1.2,78.7,60,522292,10,2,0,1,0,0,1,0,0,2000,164.6666667,112,9,1482,37.05,13.23214286,1.302294197,0.915544041,0.217948718,40,12,1,1,0,0,0,0,1,0,0,0,0,6
820,서울특별시 관악구 신림동 삼성산주공 80,38714,5.7,72.4,80,522292,7,0,0,1,0,0,1,0,0,2000,164.6666667,112,9,1482,37.05,13.23214286,1.302294197,0.915544041,0.217948718,40,12,1,1,0,0,0,0,1,0,0,0,0,6
821,서울특별시 관악구 신림동 서초 80,37900, - ,84.4,80,522292,1,0,0,1,0,0,1,0,0,2003,0,2,,109,0,54.5,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,0,0
823,서울특별시 관악구 신림동 신림2차푸르지오 80,46100, - ,78.1,80,522292,2,0,0,1,0,0,1,0,0,2007,43.625,59,8,349,23.26666667,5.915254237,1.243553009,0.80875576,0.17765043,15,4,1,1,0,0,0,0,1,1,1,0,0,7
825,서울특별시 관악구 신림동 신림푸르지오 110,63763,1.2,79.6,110,522292,8,1,0,1,0,0,1,0,0,2005,63.30434783,120,23,1456,35.51219512,12.13333333,1.453983516,0.892772792,0.244505495,41,4,1,1,0,0,0,0,1,1,1,0,1,6
826,서울특별시 관악구 신림동 신림푸르지오 140,69157, - ,77.6,140,522292,7,1,0,1,0,0,1,0,0,2005,63.30434783,120,23,1456,35.51219512,12.13333333,1.453983516,0.892772792,0.244505495,41,4,1,1,0,0,0,0,1,1,1,0,1,6
827,서울특별시 관악구 신림동 신림푸르지오 60,53000,6.1,83,60,522292,1,1,0,1,0,0,1,0,0,2005,63.30434783,120,23,1456,35.51219512,12.13333333,1.453983516,0.892772792,0.244505495,41,4,1,1,0,0,0,0,1,1,1,0,1,6
828,서울특별시 관악구 신림동 신림푸르지오 80,58133,2.8,81.6,80,522292,12,5,0,1,0,0,1,0,0,2005,63.30434783,120,23,1456,35.51219512,12.13333333,1.453983516,0.892772792,0.244505495,41,4,1,1,0,0,0,0,1,1,1,0,1,6
829,서울특별시 관악구 신림동 신림현대 110,48460,4.3,76.4,110,522292,5,0,0,1,0,0,1,0,0,1993,136.1666667,140,12,1634,33.34693878,11.67142857,0.652998776,0.387066542,0.102815177,49,12,1,0,1,0,0,1,0,1,0,0,0,4
830,서울특별시 관악구 신림동 신림현대 120,54480, - ,71,120,522292,5,0,0,1,0,0,1,0,0,1993,136.1666667,140,12,1634,33.34693878,11.67142857,0.652998776,0.387066542,0.102815177,49,12,1,0,1,0,0,1,0,1,0,0,0,4
831,서울특별시 관악구 신림동 신림현대 30,24995,2.6,70.9,30,522292,22,0,0,1,0,0,1,0,0,1993,136.1666667,140,12,1634,33.34693878,11.67142857,0.652998776,0.387066542,0.102815177,49,12,1,0,1,0,0,1,0,1,0,0,0,4
832,서울특별시 관악구 신림동 신림현대 60,37083,2.9,71,60,522292,6,0,0,1,0,0,1,0,0,1993,136.1666667,140,12,1634,33.34693878,11.67142857,0.652998776,0.387066542,0.102815177,49,12,1,0,1,0,0,1,0,1,0,0,0,4
833,서울특별시 관악구 신림동 신림현대 80,44964, - ,74.3,80,522292,11,0,0,1,0,0,1,0,0,1993,136.1666667,140,12,1634,33.34693878,11.67142857,0.652998776,0.387066542,0.102815177,49,12,1,0,1,0,0,1,0,1,0,0,0,4
835,서울특별시 관악구 신림동 쌍용 60,28960,6.8,81.7,60,522292,5,0,0,1,0,0,1,0,0,1998,124.3333333,40,3,373,26.64285714,9.325,1.064343164,0.9697733,0.1769437,14,12,1,1,0,0,0,1,0,1,0,0,0,3
