연번,ID,매매_22년_2분기,등락율,전세가율,전용면적.17,구별인구.17,거래량18,거래허가제TF,아파트TF,주상복합TF,도시형주택TF,일반분양TF,복합분양TF,임대분양TF,사용승인년도,동당세대수,승강기합계,동수,세대수,관리원당세대수,승강기당세대수,세대당주차수,지하주차비율,세대당cctv수,관리인원수,연간소독횟수,관리위탁여부,개별난방TF,중앙난방TF,지역난방TF,복도식TF,혼합형TF,계단식TF,메이저시공사TF,조합시행TF,철근철골구조TF,홈네트워크TF,관리시설수
20,서울특별시 강남구 개포동 경남1 100,"235,000", - ,35,100,"536,710",0,0,1,0,0,1,0,0,1984,75.33333333,117,9,678,15.40909091,5.794871795,1.101769912,0,0.150442478,44,4,1,0,0,1,0,0,1,0,0,0,0,4
21,서울특별시 강남구 개포동 경남2차 180,"380,000", - ,32,180,"536,710",0,0,1,0,0,1,0,0,1984,75.33333333,117,9,678,15.40909091,5.794871795,1.101769912,0,0.150442478,44,4,1,0,0,1,0,0,1,0,0,0,0,4
22,서울특별시 강남구 개포동 디에이치아너힐즈 80,"305,000",4.2,54,80,"536,710",1,0,1,0,0,0,1,0,2019,57.39130435,150,23,1320,24.44444444,8.8,1.593181818,1,0.563636364,54,,1,0,0,1,0,1,0,1,1,0,1,9
23,서울특별시 강남구 개포동 래미안블레스티지 60,"214,167",-7.4,50,60,"536,710",3,0,1,0,0,0,1,0,2019,85.08695652,200,23,1957,30.10769231,9.785,1.611139499,1,0.416964742,65,4,1,0,0,1,0,0,1,1,1,0,1,10
24,서울특별시 강남구 개포동 래미안블레스티지 80,"300,000", - ,49,80,"536,710",0,0,1,0,0,0,1,0,2019,85.08695652,200,23,1957,30.10769231,9.785,1.611139499,1,0.416964742,65,4,1,0,0,1,0,0,1,1,1,0,1,10
25,서울특별시 강남구 개포동 삼익대청아파트 40,"147,833", - ,24,40,"536,710",0,0,1,0,0,1,0,0,1992,137,61,6,822,31.61538462,13.47540984,0.335766423,0.097826087,0.055961071,26,12,1,0,0,1,1,0,0,0,0,0,0,3
26,서울특별시 강남구 개포동 삼익대청아파트 50,"157,000", - ,31,50,"536,710",0,0,1,0,0,1,0,0,1992,137,61,6,822,31.61538462,13.47540984,0.335766423,0.097826087,0.055961071,26,12,1,0,0,1,1,0,0,0,0,0,0,3
27,서울특별시 강남구 개포동 삼익대청아파트 60,"175,000", - ,29,60,"536,710",0,0,1,0,0,1,0,0,1992,137,61,6,822,31.61538462,13.47540984,0.335766423,0.097826087,0.055961071,26,12,1,0,0,1,1,0,0,0,0,0,0,3
28,서울특별시 강남구 개포동 성원대치2단지아파트 30,"104,333",-15.6,28,30,"536,710",3,0,1,0,0,1,0,0,1992,159.3636364,123,11,1753,33.0754717,14.25203252,0.291500285,0.142857143,0.057045066,53,12,1,0,0,1,1,0,0,0,0,0,0,5
29,서울특별시 강남구 개포동 성원대치2단지아파트 40,"145,000",6.4,25,40,"536,710",1,0,1,0,0,1,0,0,1992,159.3636364,123,11,1753,33.0754717,14.25203252,0.291500285,0.142857143,0.057045066,53,12,1,0,0,1,1,0,0,0,0,0,0,5
30,서울특별시 강남구 개포동 성원대치2단지아파트 50,"160,000", - ,29,50,"536,710",0,0,1,0,0,1,0,0,1992,159.3636364,123,11,1753,33.0754717,14.25203252,0.291500285,0.142857143,0.057045066,53,12,1,0,0,1,1,0,0,0,0,0,0,5
31,서울특별시 강남구 개포동 우성8 80,"240,000",-4.2,36,80,"536,710",1,0,1,0,0,1,0,0,1987,87,50,3,261,16.3125,5.22,0.528735632,0,0.210727969,16,12,1,0,0,1,0,1,0,0,1,0,0,3
32,서울특별시 강남구 개포동 현대1차101동~106동 100,"275,000", - ,33,100,"536,710",0,0,1,0,0,1,0,0,1984,69.33333333,77,6,416,14.34482759,5.402597403,1.088942308,0,0.146634615,29,12,0,0,0,1,0,0,1,1,0,0,0,4
33,서울특별시 강남구 개포동 현대1차101동~106동 180,"355,000", - ,34,180,"536,710",0,0,1,0,0,1,0,0,1984,69.33333333,77,6,416,14.34482759,5.402597403,1.088942308,0,0.146634615,29,12,0,0,0,1,0,0,1,1,0,0,0,4
34,서울특별시 강남구 논현동 동양파라곤 160,"326,500", - ,66,160,"536,710",0,0,1,0,0,1,0,0,2004,50.75,75,4,203,6.34375,2.706666667,2.81773399,1,0.0591133,32,12,1,1,0,0,0,0,1,0,0,0,0,2
35,서울특별시 강남구 논현동 동현아파트1~6 80,"227,500", - ,31,80,"536,710",0,0,1,0,0,1,0,0,1985,91.33333333,76,6,548,21.07692308,7.210526316,1.058394161,0,0.166058394,26,,0,0,0,1,0,0,1,0,0,1,0,3
37,서울특별시 강남구 논현동 신동아 110,"229,000", - ,40,110,"536,710",0,0,1,0,0,1,0,0,1997,107.3333333,64,6,644,32.2,10.0625,1.062111801,0.669590643,0.065217391,20,12,1,1,0,0,0,1,0,0,1,0,0,3
38,서울특별시 강남구 논현동 신동아 40,"96,875",3.6,41,40,"536,710",4,0,1,0,0,1,0,0,1997,107.3333333,64,6,644,32.2,10.0625,1.062111801,0.669590643,0.065217391,20,12,1,1,0,0,0,1,0,0,1,0,0,3
39,서울특별시 강남구 논현동 신동아 80,"180,000", - ,42,80,"536,710",0,0,1,0,0,1,0,0,1997,107.3333333,64,6,644,32.2,10.0625,1.062111801,0.669590643,0.065217391,20,12,1,1,0,0,0,1,0,0,1,0,0,3
40,서울특별시 강남구 논현동 쌍용 60,"111,000", - ,45,60,"536,710",0,0,1,0,0,1,0,0,1996,111,3,1,111,0,37,0,0,0,0,,0,1,0,0,1,0,0,0,1,0,0,3
41,서울특별시 강남구 논현동 아크로힐스논현 110,"320,000",18.9,55,110,"536,710",1,0,1,0,0,0,1,0,2014,92,47,4,368,23,7.829787234,1.752717391,1,0.456521739,16,4,1,0,0,1,0,0,1,1,1,0,1,10
42,서울특별시 강남구 논현동 아크로힐스논현 80,"210,000", - ,55,80,"536,710",0,0,1,0,0,0,1,0,2014,92,47,4,368,23,7.829787234,1.752717391,1,0.456521739,16,4,1,0,0,1,0,0,1,1,1,0,1,10
45,서울특별시 강남구 대치동 개포우성1 130,"392,000", - ,39,130,"536,710",0,1,1,0,0,1,0,0,1983,81.42857143,273,14,1140,9.827586207,4.175824176,1.078947368,0,0.14122807,116,12,1,0,1,0,0,0,1,0,0,0,0,4
46,서울특별시 강남구 대치동 개포우성1 80,"323,000",2.2,32,80,"536,710",1,1,1,0,0,1,0,0,1983,81.42857143,273,14,1140,9.827586207,4.175824176,1.078947368,0,0.14122807,116,12,1,0,1,0,0,0,1,0,0,0,0,4
47,서울특별시 강남구 대치동 개포우성2 130,"405,000", - ,34,130,"536,710",0,1,1,0,0,1,0,0,1983,81.42857143,273,14,1140,9.827586207,4.175824176,1.078947368,0,0.14122807,116,12,1,0,1,0,0,0,1,0,0,0,0,4
50,서울특별시 강남구 대치동 대치삼성 100,"270,000", - ,56,100,"536,710",0,1,1,0,0,1,0,0,2000,68.57142857,99,14,960,27.42857143,9.696969697,1.289583333,0.816639742,0.182291667,35,12,1,0,0,1,0,1,0,1,0,0,0,6
51,서울특별시 강남구 대치동 대치아이파크 120,"400,000", - ,50,120,"536,710",0,1,1,0,0,1,0,0,2008,69.81818182,86,11,768,24,8.930232558,1.524739583,1,0.260416667,32,4,1,0,0,1,0,0,1,1,1,0,0,7
52,서울특별시 강남구 대치동 대치아이파크 80,"286,000", - ,42,80,"536,710",0,1,1,0,0,1,0,0,2008,69.81818182,86,11,768,24,8.930232558,1.524739583,1,0.260416667,32,4,1,0,0,1,0,0,1,1,1,0,0,7
53,"서울특별시 강남구 대치동 대치우성아파트1동,2동,3동,5동,6동,7동 80","254,500", - ,28,80,"536,710",0,1,1,0,0,1,0,0,1984,79.33333333,74,6,476,17.62962963,6.432432432,1.046218487,0,0.130252101,27,12,1,0,0,1,0,0,1,0,0,0,0,4
54,서울특별시 강남구 대치동 대치현대 80,"246,000",2.4,48,80,"536,710",1,1,1,0,0,1,0,0,1999,78.75,64,8,630,28.63636364,9.84375,1.088888889,0.89212828,0.238095238,22,12,1,0,0,1,0,1,0,1,1,0,0,4
55,서울특별시 강남구 대치동 동부센트레빌 120,"440,000",11.4,61,120,"536,710",1,1,1,0,0,1,0,0,2005,115,151,7,805,12.77777778,5.331125828,2.240993789,1,0.145341615,63,4,1,0,0,1,0,0,1,0,1,0,1,5
56,서울특별시 강남구 대치동 동부센트레빌 150,"470,000",9.6,58,150,"536,710",1,1,1,0,0,1,0,0,2005,115,151,7,805,12.77777778,5.331125828,2.240993789,1,0.145341615,63,4,1,0,0,1,0,0,1,0,1,0,1,5
57,서울특별시 강남구 대치동 동부센트레빌 160,"505,000", - ,62,160,"536,710",0,1,1,0,0,1,0,0,2005,115,151,7,805,12.77777778,5.331125828,2.240993789,1,0.145341615,63,4,1,0,0,1,0,0,1,0,1,0,1,5
60,서울특별시 강남구 대치동 래미안대치하이스턴 110,"280,000", - ,51,110,"536,710",0,1,1,0,0,1,0,0,1989,70.8,51,5,354,23.6,6.941176471,1.302259887,1,0.395480226,15,4,1,0,0,1,0,0,1,1,1,0,1,10
61,서울특별시 강남구 대치동 선경1차 140,"410,000", - ,43,140,"536,710",0,1,1,0,0,1,0,0,1983,86.16666667,243,12,1034,10.1372549,4.255144033,1.02417795,0,0.110251451,102,12,1,0,1,0,0,0,1,0,0,0,0,7
63,"서울특별시 강남구 대치동 쌍용대치아파트1동,2동,3동,5동,6동 80","279,000",3.2,28,80,"536,710",1,1,1,0,0,1,0,0,1983,126,102,5,630,16.15384615,6.176470588,1.063492063,0,0.074603175,39,12,1,0,0,1,0,0,1,0,0,0,0,2
64,서울특별시 강남구 대치동 은마 80,"258,722",8.6,26,80,"536,710",9,1,1,0,0,1,0,0,1979,158,395,28,4424,25.28,11.2,0.682866184,0,0.018987342,175,4,1,0,0,1,1,0,0,0,0,0,0,4
67,서울특별시 강남구 대치동 한보미도맨션1 130,"385,875",-3.1,34,130,"536,710",4,1,1,0,0,1,0,0,1983,116,394,21,2436,15.32075472,6.182741117,1.230295567,0,0.075944171,159,12,0,0,0,1,0,1,0,0,0,1,0,6
68,서울특별시 강남구 대치동 한보미도맨션1 80,"215,000", - ,47,80,"536,710",0,1,1,0,0,1,0,0,1983,116,394,21,2436,15.32075472,6.182741117,1.230295567,0,0.075944171,159,12,0,0,0,1,0,1,0,0,0,1,0,6
69,서울특별시 강남구 대치동 한보미도맨션2 120,"350,000", - ,35,120,"536,710",0,1,1,0,0,1,0,0,1983,116,394,21,2436,15.32075472,6.182741117,1.230295567,0,0.075944171,159,12,0,0,0,1,0,1,0,0,0,1,0,6
70,서울특별시 강남구 대치동 한보미도맨션2 130,"380,000",9.2,34,130,"536,710",1,1,1,0,0,1,0,0,1983,116,394,21,2436,15.32075472,6.182741117,1.230295567,0,0.075944171,159,12,0,0,0,1,0,1,0,0,0,1,0,6
71,서울특별시 강남구 대치동 한보미도맨션2 80,"264,917", - ,34,80,"536,710",0,1,1,0,0,1,0,0,1983,116,394,21,2436,15.32075472,6.182741117,1.230295567,0,0.075944171,159,12,0,0,0,1,0,1,0,0,0,1,0,6
72,서울특별시 강남구 도곡동 경남 60,"170,000", - ,41,60,"536,710",0,0,1,0,0,1,0,0,2005,87,38,4,348,24.85714286,9.157894737,1.117816092,0.902313625,0.166666667,14,8,1,1,0,0,0,1,0,0,0,0,0,5
79,서울특별시 강남구 도곡동 도곡렉슬 110,"410,000", - ,39,110,"536,710",0,0,1,0,0,1,0,0,2006,88.29411765,269,34,3002,30.02,11.1598513,1.477348434,1,0.266822119,100,12,1,0,0,1,0,0,1,1,1,0,0,9
80,서울특별시 강남구 도곡동 도곡렉슬 120,"349,000", - ,51,120,"536,710",0,0,1,0,0,1,0,0,2006,88.29411765,269,34,3002,30.02,11.1598513,1.477348434,1,0.266822119,100,12,1,0,0,1,0,0,1,1,1,0,0,9
81,서울특별시 강남구 도곡동 도곡렉슬 130,"494,000",15,45,130,"536,710",1,0,1,0,0,1,0,0,2006,88.29411765,269,34,3002,30.02,11.1598513,1.477348434,1,0.266822119,100,12,1,0,0,1,0,0,1,1,1,0,0,9
82,서울특별시 강남구 도곡동 도곡렉슬 60,"231,500", - ,42,60,"536,710",0,0,1,0,0,1,0,0,2006,88.29411765,269,34,3002,30.02,11.1598513,1.477348434,1,0.266822119,100,12,1,0,0,1,0,0,1,1,1,0,0,9
83,서울특별시 강남구 도곡동 도곡렉슬 80,"311,500",-0.5,47,80,"536,710",2,0,1,0,0,1,0,0,2006,88.29411765,269,34,3002,30.02,11.1598513,1.477348434,1,0.266822119,100,12,1,0,0,1,0,0,1,1,1,0,0,9
84,서울특별시 강남구 도곡동 도곡쌍용예가 110,"224,000",0.9,54,110,"536,710",1,0,1,0,0,1,0,0,1978,76.8,57,5,384,22.58823529,6.736842105,1.078125,0.857487923,0.4765625,17,4,1,0,0,1,0,0,1,0,1,1,1,6
85,서울특별시 강남구 도곡동 도곡우성아파트 80,"221,000",5,34,80,"536,710",2,0,1,0,0,1,0,0,1986,195,49,2,390,22.94117647,7.959183673,0.846153846,0,0.061538462,17,4,0,0,0,1,0,1,0,0,1,0,0,4
86,서울특별시 강남구 도곡동 래미안도곡카운티 110,"361,667",4.9,54,110,"536,710",3,0,1,0,0,1,0,0,2016,49.625,62,8,397,24.8125,6.403225806,1.284634761,1,0.340050378,16,12,1,0,0,1,0,0,1,1,0,0,1,5
87,서울특별시 강남구 도곡동 래미안도곡카운티 70,"280,000", - ,46,70,"536,710",0,0,1,0,0,1,0,0,2016,49.625,62,8,397,24.8125,6.403225806,1.284634761,1,0.340050378,16,12,1,0,0,1,0,0,1,1,0,0,1,5
88,서울특별시 강남구 도곡동 럭키 120,"265,000",-3.3,46,120,"536,710",2,0,1,0,0,1,0,0,1995,109.4,163,10,1094,16.08823529,6.711656442,0.984460695,0.38904364,0.060329068,68,4,1,0,0,1,0,1,0,1,0,0,0,3
89,서울특별시 강남구 도곡동 럭키 80,"230,250",-0.8,30,80,"536,710",2,0,1,0,0,1,0,0,1995,109.4,163,10,1094,16.08823529,6.711656442,0.984460695,0.38904364,0.060329068,68,4,1,0,0,1,0,1,0,1,0,0,0,3
90,서울특별시 강남구 도곡동 삼성 50,"150,000", - ,38,50,"536,710",0,0,1,0,0,1,0,0,1994,57.75,35,4,231,19.25,6.6,0.952380952,0,0.138528139,12,12,1,0,0,1,0,1,0,1,0,0,0,2
91,서울특별시 강남구 도곡동 삼성 80,"220,000", - ,34,80,"536,710",0,0,1,0,0,1,0,0,1994,57.75,35,4,231,19.25,6.6,0.952380952,0,0.138528139,12,12,1,0,0,1,0,1,0,1,0,0,0,2
92,서울특별시 강남구 도곡동 삼성래미안 120,"310,000", - ,47,120,"536,710",0,0,1,0,0,1,0,0,2001,73.2,79,10,732,27.11111111,9.265822785,1.669398907,0.952536825,0.155737705,27,4,1,0,0,1,0,0,1,1,0,0,1,6
93,서울특별시 강남구 도곡동 삼성래미안 60,"214,000", - ,45,60,"536,710",0,0,1,0,0,1,0,0,2001,73.2,79,10,732,27.11111111,9.265822785,1.669398907,0.952536825,0.155737705,27,4,1,0,0,1,0,0,1,1,0,0,1,6
94,서울특별시 강남구 도곡동 삼성래미안 80,"265,000", - ,53,80,"536,710",0,0,1,0,0,1,0,0,2001,73.2,79,10,732,27.11111111,9.265822785,1.669398907,0.952536825,0.155737705,27,4,1,0,0,1,0,0,1,1,0,0,1,6
95,서울특별시 강남구 도곡동 삼익 100,"215,000",1.9,29,100,"536,710",1,0,1,0,0,1,0,0,1983,123.5,34,2,247,19,7.264705882,1.153846154,0,0.089068826,13,12,0,0,1,0,0,1,0,0,0,0,0,3
96,서울특별시 강남구 도곡동 삼익 150,"279,000", - ,35,150,"536,710",0,0,1,0,0,1,0,0,1983,123.5,34,2,247,19,7.264705882,1.153846154,0,0.089068826,13,12,0,0,1,0,0,1,0,0,0,0,0,3
99,서울특별시 강남구 도곡동 우성사원5 70,"230,000", - ,23,70,"536,710",2,0,1,0,0,1,0,0,1986,45,31,4,180,20,5.806451613,1,0,0.055555556,9,12,1,0,0,1,0,0,1,0,0,0,0,3
100,서울특별시 강남구 도곡동 우성사원5 80,"234,000", - ,34,80,"536,710",0,0,1,0,0,1,0,0,1986,45,31,4,180,20,5.806451613,1,0,0.055555556,9,12,1,0,0,1,0,0,1,0,0,0,0,3
111,서울특별시 강남구 도곡동 현대그린1 80,"187,000",-3.1,49,80,"536,710",1,0,1,0,0,1,0,0,2006,171,24,1,171,24.42857143,7.125,0.912280702,0.807692308,0.187134503,7,12,0,0,0,1,0,0,1,1,1,0,0,4
116,서울특별시 강남구 삼성동 롯데캐슬프레미어 120,"318,000",-3.8,57,120,"536,710",1,1,1,0,0,1,0,0,2007,64.81818182,92,11,713,20.97058824,7.75,1.932678822,0.992743106,0.391304348,34,4,1,0,0,1,0,0,1,1,1,0,1,5
117,서울특별시 강남구 삼성동 롯데캐슬프레미어 80,"268,500", - ,49,80,"536,710",0,1,1,0,0,1,0,0,2007,64.81818182,92,11,713,20.97058824,7.75,1.932678822,0.992743106,0.391304348,34,4,1,0,0,1,0,0,1,1,1,0,1,5
118,서울특별시 강남구 삼성동 삼성동롯데아파트 90,"217,400",0.2,50,90,"536,710",1,1,1,0,0,1,0,0,2000,113,38,3,339,26.07692308,8.921052632,1.474926254,0.8,0.18879056,13,12,1,0,0,1,0,1,0,1,0,0,1,3
119,서울특별시 강남구 삼성동 삼성동중앙하이츠빌리지 150,"370,000", - ,55,150,"536,710",0,1,1,0,0,1,0,0,2004,59.6,46,5,298,16.55555556,6.47826087,1.744966443,1,0.359060403,18,6,1,0,0,1,0,0,1,0,0,0,0,5
120,서울특별시 강남구 삼성동 삼성동힐스테이트 1단지 30,"125,250",7.2,42,30,"536,710",2,1,1,0,0,1,0,0,2008,67.29411765,111,17,1144,29.33333333,10.30630631,1.323426573,1,0.440559441,39,12,1,0,0,1,0,0,1,1,1,0,1,9
121,서울특별시 강남구 삼성동 삼성동힐스테이트 1단지 80,"270,000",-3,47,80,"536,710",1,1,1,0,0,1,0,0,2008,67.29411765,111,17,1144,29.33333333,10.30630631,1.323426573,1,0.440559441,39,12,1,0,0,1,0,0,1,1,1,0,1,9
122,서울특별시 강남구 삼성동 서광아파트 60,"171,000",-0.1,46,60,"536,710",1,1,1,0,0,1,0,0,1998,152,34,2,304,30.4,8.941176471,0.976973684,0.872053872,0.253289474,10,4,1,1,0,0,0,0,1,0,1,0,0,4
123,서울특별시 강남구 삼성동 아이파크 150,"500,000",16,43,150,"536,710",1,1,1,0,0,1,0,0,2004,149.6666667,163,3,449,6.150684932,2.754601227,2.777282851,1,0.668151448,73,12,1,0,0,1,0,0,1,1,0,1,1,7
124,서울특별시 강남구 삼성동 현대힐스테이트2단지 40,"155,000", - ,43,40,"536,710",0,1,1,0,0,1,0,0,2008,77.16666667,88,12,926,29.87096774,10.52272727,1.394168467,1,0.367170626,31,4,1,0,0,1,0,1,0,1,1,0,1,7
125,서울특별시 강남구 삼성동 현대힐스테이트2단지 80,"283,143", - ,46,80,"536,710",0,1,1,0,0,1,0,0,2008,77.16666667,88,12,926,29.87096774,10.52272727,1.394168467,1,0.367170626,31,4,1,0,0,1,0,1,0,1,1,0,1,7
126,서울특별시 강남구 세곡동 강남데시앙파크 110,"185,000", - ,35,110,"536,710",0,0,1,0,0,0,1,0,2011,36.4,68,15,546,24.81818182,8.029411765,1.556776557,0.995294118,0.492673993,22,12,1,1,0,0,0,0,1,0,0,0,1,4
127,서울특별시 강남구 세곡동 강남데시앙파크 80,"132,000", - ,46,80,"536,710",0,0,1,0,0,0,1,0,2011,36.4,68,15,546,24.81818182,8.029411765,1.556776557,0.995294118,0.492673993,22,12,1,1,0,0,0,0,1,0,0,0,1,4
128,서울특별시 강남구 세곡동 강남엘에이치1단지 60,"154,000", - ,39,60,"536,710",0,0,1,0,0,1,0,0,2013,67.41666667,98,12,809,25.28125,8.255102041,1.229913473,1,0.349814586,32,12,1,0,0,1,0,0,1,0,0,0,1,9
129,서울특별시 강남구 세곡동 강남엘에이치1단지 70,"165,000", - ,44,70,"536,710",0,0,1,0,0,1,0,0,2013,67.41666667,98,12,809,25.28125,8.255102041,1.229913473,1,0.349814586,32,12,1,0,0,1,0,0,1,0,0,0,1,9
130,서울특별시 강남구 세곡동 강남엘에이치1단지 80,"173,000", - ,43,80,"536,710",0,0,1,0,0,1,0,0,2013,67.41666667,98,12,809,25.28125,8.255102041,1.229913473,1,0.349814586,32,12,1,0,0,1,0,0,1,0,0,0,1,9
131,서울특별시 강남구 세곡동 세곡푸르지오 60,"150,500", - ,47,60,"536,710",0,0,1,0,0,1,0,0,2012,57,95,16,912,32.57142857,9.6,1.25877193,0.996515679,0.271929825,28,12,1,0,0,1,0,0,1,1,0,0,1,9
132,서울특별시 강남구 세곡동 세곡푸르지오 70,"164,500", - ,48,70,"536,710",0,0,1,0,0,1,0,0,2012,57,95,16,912,32.57142857,9.6,1.25877193,0.996515679,0.271929825,28,12,1,0,0,1,0,0,1,1,0,0,1,9
133,서울특별시 강남구 세곡동 세곡푸르지오 80,"160,000", - ,47,80,"536,710",0,0,1,0,0,1,0,0,2012,57,95,16,912,32.57142857,9.6,1.25877193,0.996515679,0.271929825,28,12,1,0,0,1,0,0,1,1,0,0,1,9
134,서울특별시 강남구 수서동 강남데시앙포레 60,"164,167", - ,44,60,"536,710",0,0,1,0,0,1,0,0,2014,56.21428571,88,14,787,30.26923077,8.943181818,1.207115629,0.994736842,0.304955527,26,12,1,1,0,0,0,0,1,0,0,0,1,6
135,서울특별시 강남구 수서동 강남데시앙포레 80,"194,333",-0.9,45,80,"536,710",3,0,1,0,0,1,0,0,2014,56.21428571,88,14,787,30.26923077,8.943181818,1.207115629,0.994736842,0.304955527,26,12,1,1,0,0,0,0,1,0,0,0,1,6
136,서울특별시 강남구 수서동 까치마을 30,"101,563", - ,29,30,"536,710",0,0,1,0,0,1,0,0,1993,200.4285714,91,7,1403,40.08571429,15.41758242,0.380612972,0.344569288,0.054882395,35,4,1,0,0,1,1,0,0,0,0,0,0,6
137,서울특별시 강남구 수서동 까치마을 40,"110,000",-10.8,31,40,"536,710",1,0,1,0,0,1,0,0,1993,200.4285714,91,7,1403,40.08571429,15.41758242,0.380612972,0.344569288,0.054882395,35,4,1,0,0,1,1,0,0,0,0,0,0,6
138,서울특별시 강남구 수서동 까치마을 50,"135,000",-10.2,36,50,"536,710",1,0,1,0,0,1,0,0,1993,200.4285714,91,7,1403,40.08571429,15.41758242,0.380612972,0.344569288,0.054882395,35,4,1,0,0,1,1,0,0,0,0,0,0,6
139,서울특별시 강남구 수서동 동익 80,"175,000", - ,38,80,"536,710",0,0,1,0,0,1,0,0,1993,82.5,42,4,330,23.57142857,7.857142857,0.951515152,0.5,0.139393939,14,12,1,0,0,1,0,0,1,0,0,0,0,5
140,서울특별시 강남구 수서동 삼성 80,"195,000",-4.4,40,80,"536,710",1,0,1,0,0,1,0,0,1997,56.66666667,124,12,680,28.33333333,5.483870968,1.123529412,0.780104712,0.214705882,24,12,1,0,0,1,0,0,1,1,0,0,0,7
141,서울특별시 강남구 수서동 삼익 50,"150,000", - ,33,50,"536,710",0,0,1,0,0,1,0,0,1992,129,53,5,645,30.71428571,12.16981132,1.550387597,0.35,0.07751938,21,12,1,0,0,1,1,0,0,0,0,0,0,4
142,서울특별시 강남구 수서동 삼익 60,"165,000", - ,32,60,"536,710",1,0,1,0,0,1,0,0,1992,129,53,5,645,30.71428571,12.16981132,1.550387597,0.35,0.07751938,21,12,1,0,0,1,1,0,0,0,0,0,0,4
143,서울특별시 강남구 수서동 삼익 80,"188,500",4.5,30,80,"536,710",1,0,1,0,0,1,0,0,1992,129,53,5,645,30.71428571,12.16981132,1.550387597,0.35,0.07751938,21,12,1,0,0,1,1,0,0,0,0,0,0,4
144,서울특별시 강남구 수서동 수서한아름 100,"162,667", - ,46,100,"536,710",0,0,1,0,0,1,0,0,1993,71.14285714,72,7,498,19.92,6.916666667,1.489959839,0.57277628,0.289156627,25,12,1,0,0,1,0,0,1,0,0,0,0,5
145,서울특별시 강남구 수서동 수서한아름 130,"210,000", - ,47,130,"536,710",0,0,1,0,0,1,0,0,1993,71.14285714,72,7,498,19.92,6.916666667,1.489959839,0.57277628,0.289156627,25,12,1,0,0,1,0,0,1,0,0,0,0,5
146,서울특별시 강남구 수서동 신동아 30,"97,000",-18.6,31,30,"536,710",1,0,1,0,0,1,0,0,1992,145.25,84,8,1162,35.21212121,13.83333333,0.279690189,0.356923077,0.055077453,33,4,1,0,0,1,1,0,0,0,0,0,0,6
